"category","key","author","title","month","year","editor","medial_id","volume","publisher","edition","number","series","address","abstract"
"Kinderbuch","22","Epple, Doris","Kinder bemalen Steine","7","97","Bibo RT","Yd Epp K","0","Christophorus Verlag Freiburg","3","1985","3-419-52461-7","","Brunnen-Reihe 161

Für ZL-Kreativ-Workshop mit Kindern"
"Kinderbuch","23","Pfeiffer, Christina","Kinderleichtes Umweltbasteln mit Schritt für Schritt Anleitung und Vorlagen in Orig.gr.","7","97","Bibo RT","Yd Kind K","0","Augustus Verlag Augsburg","0","1994","3-8043-0303-X","","Basteln und Werken zu versch. Anlässen im Jahr, auch für Unterricht"
"Kinderbuch","24","Harand-Krumbach, Monika","Nur Natur","7","97","Bibo RT","R 94288525","0","","0","0000","","",""
"Roman","25","Sharpe, Tom","Puppenmord

oder bis daß ihr Tod ihn scheidet","12","97","Klaus Esch","","0","by Rogner&Bernhard Verlags KG","0","1980","","","Nr:01570/1 F.Pustet Regensburg

Originaltitel: Wilt 1976

Berufsschullehrer wirft P. in Bauloch"
"Roman","26","Schami, Rafik","Erzähler der Nacht","12","97","Heike","","0","dtv","0","1997","","","c 1989 - Kutscher Salim ist Geschchten erzähler und wird stumm. 7 Freunde müssen ihm 7 Bes. Geschenke machen (7 Geschichten erzählen)."
"Roman","27","Schami, Rafik","Reise zwischen Nacht und Morgen","1","98","Heike","","0","Hanser c1995","0","0000","","","Valentin Samani (Circusdirektor) geht mit seinem Circus nach Ulania zu sei- nem reichen Freund Nabil und erlebt dort die Handlung."
"Noten","28","Telemann, Georg Philipp","Zwölf Fantasien

Für eige allein (1735)","4","98","Bibo RT","L10 Tel","1","Möseler Verlag Wolfenbüttel","0","1927","","","Meister z. Bachs Zeiten für Geige:

Pisendel, Geminianini, Baltzar, Biber, Purcell, Westhoff"
"Noten","29","Reger, Max","Präludien und Fugen Op. 117 2x

7 Sonaten Op. 91 2x","4","98","Bibo RT","L10 Reg","0","Bote & Bock Berlin Wiesbaden","0","1939","","","zu schwer"
"Noten","30","Pichl, Vaclav","Sei Fughe","4","98","Bibo RT","L10 Pic","0","Edition Supraphon Prag","0","1972","","","zu schwer, melodisch nicht so toll"
"Noten","31","Bach, Johann Christian","Drei Sonaten für Flöte und Violine (Nagel)","4","98","Bibo RT","L1001Bach, JChr","0","Edition Schott","0","1976","","","Romantik, ni. so interessant"
"Noten","32","Cambini, Giuseppe","Sechs Duos für Flöte und Violine op. 14","4","98","Bibo RT","N1 001 Cam","1","Edition Kunzelmann","0","1983","","","romantisch, interessant"
"Roman","33","Uris, Leon","Exodus","3","98","Susi Klaß","","0","Wilhelm Heyne Verlag München","10","1993","3-453-07370-3","","Karen und Kitty Fremont,

Entstehung des Staates Israel"
"Roman","34","Follett, Ken","Die Pfeiler der Macht

(A Dangerous Fortune)","4","98","Seba Heusel","","0","Gustav Lübbe Verlag (Bastei L.","3","1996","3-404-12501-0","","Hugh, Augusta und Eduard Pilaster, Micky Miranda/Bankenfamilie im 19 Jhr.

weitere Empfehlungen KF: Die Nadel,... Dreifach, Der Schlüssel zu Rebecca, Auf den Schwingen des Adlers, Die Lö- wen, Der Mann aus St. Petersburg, Der Modigliani-Skandal, Nacht über Wassern"
"Tonträger (CD)","35","Bach, J.S.","Partiten - gespielt von Florin Paul","5","98","SB RT","TE3-O Bach J.S.","1","TACET, Nauheimer Str.57, Stg.","0","1989","","95412174","BWV 1002, 1004, 1006

Nr. in SB: R95412174 (o. 5489)"
"Roman","36","Hansen, Erik Fosnes","Choral am Ende der Reise","8","98","Bea","","0","Fischer Taschenbuchverlag FaM","1","1997","3-596-13099-9","","7 Musiker auf der Titanic und ihre Lebensgeschichten (Jason Chef und David 2.Geige)"
"Roman","37","Ibbotson, Eva","Die Morgengabe","9","98","Bea","","0","Goldmann Taschenbuch 43414","0","1996","3-442-43414-9","","Paßehe von Ruth Berger und Quinton Somerville, von Wien nach England in den 30 ger Jahren"
"Roman","38","George, Elizabeth","Asche zu Asche","10","98","Seba Heusel","","0","Goldmann Taschenbuch 43771","0","1997","3-442-43771-7","","Krimiroman um den Tod von Cricketstar Kenneth Fleming, Miriam Whitelaw, Olivia, Inspektor Lynley"
"Roman","39","Sparks, Nicholas","Wie ein einziger Tag","10","98","Heike","","0","Wilhelm Heyne Verlag","0","1997","3-453-13051-0","","Liebesgeschichte zw. Allie (kriegt später Alzheimer) und Noah (Arthritis)"
"Roman","40","Leon, Donna","Endstation Venedig","12","98","Bea","","0","Diogenes Taschenbuch 22936","1","1996","3-257-22936-4","","Kriminalroman mit Comisario Guido Brunetti"
"Ing.- Lehrbuch","41","Briese-Neumann, Gisa","Geschäftsbriefezeitgemäß und sicher schreiben","12","98","Joachim Feser","","0","Falken-Verlag Niedernhsn./Ts.","1","1995","3-8068-1323-X","","dt. Sprache und Grammatiklehre"
"Fach-/ Lehrbuch","42","Meinesz, M.","Stoffpuppen nach alten Vorbildern","0","00","","","0","Falken-Verlag","0","0000","-5281-2-","","48S. durchgehend vierfarbig, mit Vorlagebogen"
"Noten","43","Vivaldi, Antonio","Concerto in g

RV.106; (P.404)","1","99","Bibo RT","O22Viv","1","Musica Rara, Monteux, France","0","1970","","","M.R.1241

for Fl(V1),V(V2),Bassoon(Ce),Co."
